=== BAHUNG LMS ALL ROWS ===
Row 2 | Code: LMS-001 | Domain: Quản lý khóa học | Sub: Khóa học | Name: Quản lý danh mục khóa học | Phase: 1 | BE: Done | FE: Done | All: Done | Test: 
Row 103 | Code: LMS-102 | Domain: Phân tích hiệu quả nội dung đào tạo | Sub: Báo cáo | Name: Phân quyền Admin LMS | Phase: HỦY / CHƯA TRIỂN KHAI | BE: Done | FE: Done | All: Done | Test: 
Row 104 | Code: LMS-103 | Domain: Quản trị & tích hợp LMS | Sub: Admin | Name: Phân quyền Trainer | Phase: HỦY / CHƯA TRIỂN KHAI | BE: Done | FE: Done | All: Done | Test: 
Row 105 | Code: LMS-104 | Domain: Quản trị & tích hợp LMS | Sub: Admin | Name: Phân quyền xem báo cáo đào tạo | Phase: HỦY / CHƯA TRIỂN KHAI | BE: Done | FE: Done | All: Done | Test: 
Row 106 | Code: LMS-105 | Domain: Quản trị & tích hợp LMS | Sub: Admin | Name: Đồng bộ danh sách nhân sự từ HRM sang LMS | Phase: HỦY / CHƯA TRIỂN KHAI | BE: Done | FE: Done | All: Done | Test: 
Row 107 | Code: LMS-106 | Domain: Quản trị & tích hợp LMS | Sub: Admin | Name: Đồng bộ trạng thái nhân sự từ HRM | Phase: HỦY / CHƯA TRIỂN KHAI | BE: Done | FE: Done | All: Done | Test: 
Row 108 | Code: LMS-107 | Domain: Quản trị & tích hợp LMS | Sub: Admin | Name: Gửi sự kiện hoàn thành khóa sang HRM | Phase: HỦY / CHƯA TRIỂN KHAI | BE: In Progress | FE: In Progress | All: In Progress | Test: 
Row 109 | Code: LMS-108 | Domain: Quản trị & tích hợp LMS | Sub: Admin | Name: Gửi sự kiện đạt đánh giá thực hành sang HRM | Phase: HỦY / CHƯA TRIỂN KHAI | BE: In Progress | FE: In Progress | All: In Progress | Test: 
Row 110 | Code: LMS-109 | Domain: Quản trị & tích hợp LMS | Sub: Admin | Name: Single Sign-On với APP nhân viên | Phase: HỦY / CHƯA TRIỂN KHAI | BE: In Progress | FE: In Progress | All: In Progress | Test: 
Row 111 | Code: LMS-110 | Domain: Quản trị & tích hợp LMS | Sub: Admin | Name: Nhật ký thao tác LMS (audit log) | Phase: HỦY / CHƯA TRIỂN KHAI | BE: In Progress | FE: In Progress | All: In Progress | Test: 
Row 112 | Code: LMS-111 | Domain: Quản trị & tích hợp LMS | Sub: Admin | Name: Sao lưu nội dung đào tạo | Phase: HỦY / CHƯA TRIỂN KHAI | BE: In Progress | FE: In Progress | All: In Progress | Test: 
